2006	RW	25994
2008	WF	1
2011	GI	1647
2012	FI	34194
2012	SF	324354
2013	EI	109668
1979	GG	156
1979	MU	371
1979	TD	98
1980	FG	13
1980	LU	295
1981	EG	15838
1981	KU	1716
1983	CG	297
1984	BG	1589
1984	HU	4921
1985	AG	2097
1986	MD	34
1986	ZA	3358
1989	CU	6584
1989	WA	6958
1990	BU	7937
1990	ID	3769
1991	AU	4598
1991	NR	12
1992	MR	530
1993	SA	5634
1994	KR	7
1995	QA	2996
1996	CD	872
1996	IR	51818
1996	PA	3045
1997	BD	447
1997	HR	40863
1998	GR	29224
1998	TO	2519
1999	FR	88520
1999	MA	687
1999	SO	6892
2000	ER	15371
2000	LA	5678
2000	RO	19055
2001	DR	1549
2002	JA	75273
2002	PO	7973
2003	BR	25285
2004	AR	10608
2004	HA	38674
2004	NO	13419
2005	GA	3819
2005	MO	8308
2006	LO	4498
2008	DA	22985
2008	JO	40032
2009	CA	541440
2009	IO	54
2010	BA	29809
2010	HO	12650
2011	AA	3972
2011	TL	232
2012	FO	246
2012	SL	24816
1979	GI	5
1980	FI	1742
1980	SF	7495
1981	EI	6751
1983	CI	4406
1983	VT	354
1985	NF	10
1985	TT	75
1986	MF	3
1986	ST	55
1989	CW	11
1990	VC	10
1991	NT	5
1992	MT	270
1993	LT	154
1993	SC	88
1994	KT	14
1995	WQ	3
1996	CF	755
1996	IT	25380
1996	VQ	473
1997	BF	404
1997	OC	987
1998	AF	33150
1998	GT	4195
1998	NC	567
1999	MC	7314
2000	ET	21198
2000	RQ	1758
2002	CT	3173
2003	BT	3468
2003	IC	1054
2007	EC	7322
2008	JQ	2
2010	BC	20013
2010	HQ	2
2011	AC	2612
2011	GQ	2901
2011	TN	4598
2012	FQ	1
2012	SN	76873
2013	RN	70
1979	GJ	290
1979	MX	2782
1980	FJ	84
1980	SG	548
1982	DJ	157
1983	CJ	58
1983	PG	5
1985	AJ	146
1985	NG	356
1985	TU	7108
1986	MG	828
1986	SU	6956
1987	LG	663
1988	KG	58
1989	PU	237
1990	BX	439
1991	NU	3399
1992	GG	3844
1992	MU	1223
1992	TD	192
1993	FG	5
1993	LU	356
1994	EG	34328
1994	KU	10512
1996	CG	8248
1997	BG	11996
1997	HU	23779
1997	OD	79
1998	AG	20681
1999	MD	4517
1999	ZA	35474
2002	CU	25222
2002	WA	11747
2003	BU	22719
2003	ID	77330
2004	AU	11941
2004	NR	637
2005	MR	2932
2006	SA	36497
2007	KR	315
2008	QA	27758
2009	CD	19475
2009	IR	551701
2009	PA	10720
2010	BD	26238
2010	HR	25692
2011	GR	172591
2011	TO	4781
2012	FR	480655
2012	MA	6915
2012	SO	142052
2013	ER	3009
2013	LA	4561
2013	RO	15550
1979	GM	6615
1980	FM	96
1983	CM	192
1984	BM	843
1985	AM	337
1985	TX	146
1986	MJ	59
1991	UG	3268
1992	GJ	145
1992	MX	5412
1993	FJ	216
1993	SG	923
1995	DJ	882
1996	CJ	120
1996	PG	70
1998	AJ	16950
1998	NG	2722
1998	TU	86539
1999	MG	3836
1999	SU	24105
2000	LG	13511
2001	KG	10494
2002	PU	1796
2003	BX	1770
2004	NU	1835
2005	GG	7802
2005	MU	1126
2005	TD	2592
2006	FG	143
2006	LU	2521
2007	EG	104138
2007	KU	16127
2009	CG	15392
2010	BG	94157
2010	HU	30341
2010	OD	4202
2011	AG	39971
2012	MD	8928
2012	ZA	74197
1979	AL	1340
1979	GZ	180
1979	NI	1535
1979	TW	883
1980	MI	90
1980	SW	1363
1981	EZ	2012
1981	LI	625
1981	RW	85
1986	GI	65
1987	FI	2626
1987	SF	29643
1988	EI	4499
1990	CI	2631
1990	VT	183
1992	TT	928
1993	MF	4
1993	ST	22
1996	CW	152
1997	VC	265
1998	NT	31
1999	MT	682
2000	LT	2094
2000	SC	77
2001	KT	323
2002	WQ	2
2003	CF	2205
2003	IT	47823
2003	PC	36
2003	VQ	141
